"id","group","score"
"XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX","PPI_motif",7
"X1XX1X1X","PPI_motif",6
"X1XX2X2X","PPI_motif",6
"X2XX1XX2X","PPI_motif",6
"X2XX2X5X","PPI_motif",6
"X2XX6X","PPI_motif",6
"X2XXX1XX","PPI_motif",6
"X3X2XX1XX2XX","PPI_motif",6
"X3X3X2X","PPI_motif",6
"X3X3XX","PPI_motif",6
"X3X6XX","PPI_motif",6
"X3X7X","PPI_motif",6
"X3XX1XX2X","PPI_motif",6
"X4X","PPI_motif",6
"X4X2X3X","PPI_motif",6
"X4X2XX","PPI_motif",6
"X4XXX","PPI_motif",6
"X5XX","PPI_motif",6
"X5XXXX","PPI_motif",6
"X6X2X3X","PPI_motif",6
"XX1X4X","PPI_motif",6
"XX1XX2X3X","PPI_motif",6
"XX1XX2XX2X","PPI_motif",6
"XX1XX6X","PPI_motif",6
"XX1XXXXXX","PPI_motif",6
"XX2X2X3X","PPI_motif",6
"XX2XX1XX2XX","PPI_motif",6
"XX5X","PPI_motif",6
"XXX1XX1X","PPI_motif",6
"XXX4X1X","PPI_motif",6
"XXX4XX","PPI_motif",6
"XXX6X","PPI_motif",6
"XXX7X","PPI_motif",6
"XXXX3X6X","PPI_motif",6
"XXXXXXXX1X","PPI_motif",6
"X1X1X1X1X","PPI_motif",5
"X1X2X3XX","PPI_motif",5
"X1X2XX2X2X","PPI_motif",5
"X1X3XXXX","PPI_motif",5
"X1X4XX","PPI_motif",5
"X1X5X","PPI_motif",5
"X1XXXXXX","PPI_motif",5
"X2X1X3X","PPI_motif",5
"X2X1XX1X","PPI_motif",5
"X2X3X4X","PPI_motif",5
"X2X6X2X","PPI_motif",5
"X2XX1XX3X","PPI_motif",5
"X2XX2X3XX3XX2X3XX","PPI_motif",5
"X2XX2XX1XX2XX","PPI_motif",5
"X2XX7X","PPI_motif",5
"X3X1XX","PPI_motif",5
"X3X2XX2XX","PPI_motif",5
"X3X3X3XX7X3XXX","PPI_motif",5
"X3X5X4X","PPI_motif",5
"X3XX3XX2X6X2XX2X4X","PPI_motif",5
"X3XXXXX","PPI_motif",5
"X4X3X","PPI_motif",5
"X4XX1X","PPI_motif",5
"X5X","PPI_motif",5
"X7XX1X","PPI_motif",5
"XX1X2X3X","PPI_motif",5
"XX1X2XXX","PPI_motif",5
"XX1X4XX","PPI_motif",5
"XX1X5X","PPI_motif",5
"XX1XX2XX2XX2X2XX2XXX1X","PPI_motif",5
"XX1XX4X","PPI_motif",5
"XX1XXX1XX","PPI_motif",5
"XX2X2XX2XX","PPI_motif",5
"XX2X3X2XX2X3XX2X2XX","PPI_motif",5
"XX2X3X2XX2XXXXX","PPI_motif",5
"XX2X3X3X2X3XX1XX2XX","PPI_motif",5
"XX2X3X3X2X3XX2X2XX","PPI_motif",5
"XX2X3XX","PPI_motif",5
"XX2X4XX4X1XX","PPI_motif",5
"XX3X2X","PPI_motif",5
"XX4X1XX","PPI_motif",5
"XX4X2X","PPI_motif",5
"XXX1XX2X","PPI_motif",5
"XXX2X1XX","PPI_motif",5
"XXX3X2X","PPI_motif",5
"XXX4X7XX2X2X","PPI_motif",5
"XXX4XXX","PPI_motif",5
"XXXX5X","PPI_motif",5
"XXXXX4X","PPI_motif",5
"X1X1XX1X","PPI_motif",4
"X1X1XX1XX","PPI_motif",4
"X1X1XX2X","PPI_motif",4
"X1X1XXX","PPI_motif",4
"X1X2X1X1X","PPI_motif",4
"X1X2X2X4XX2X1X1X","PPI_motif",4
"X1X2X3X","PPI_motif",4
"X1X3X4XXX","PPI_motif",4
"X1X4X5X","PPI_motif",4
"X1X6X","PPI_motif",4
"X1XX1X3X","PPI_motif",4
"X1XX2XX2XX1XX2XX2X6XXXX2X","PPI_motif",4
"X1XX4X","PPI_motif",4
"X1XXX2XX","PPI_motif",4
"X1XXXX1X","PPI_motif",4
"X1XXXX1XX","PPI_motif",4
